abbreviation	name	compartment
s_0523	s_0523	NA
s_1218	s_1218	NA
s_1080	s_1080	NA
s_1161	s_1161	NA
s_1079	s_1079	NA
s_1060	s_1060	NA
s_1077	s_1077	NA
s_1076	s_1076	NA
s_1064	s_1064	NA
s_1356	s_1356	NA
s_0779	s_0779	NA
s_1247	s_1247	NA
s_1058	s_1058	NA
s_1062	s_1062	NA
s_0494	s_0494	NA
s_0495	s_0495	NA
s_1416	s_1416	NA
s_0497	s_0497	NA
s_0499	s_0499	NA
s_0521	s_0521	NA
s_0483	s_0483	NA
s_0488	s_0488	NA
s_0596	s_0596	NA
s_1234	s_1234	NA
s_0077	s_0077	NA
s_0484	s_0484	NA
s_0076	s_0076	NA
s_0512	s_0512	NA
s_0597	s_0597	NA
s_1230	s_1230	NA
s_1258	s_1258	NA
s_0502	s_0502	NA
s_0848	s_0848	NA
s_0501	s_0501	NA
s_0847	s_0847	NA
s_0662	s_0662	NA
s_0851	s_0851	NA
s_0607	s_0607	NA
s_0713	s_0713	NA
s_1197	s_1197	NA
s_0794	s_0794	NA
s_0777	s_0777	NA
s_1144	s_1144	NA
s_1116	s_1116	NA
s_0586	s_0586	NA
s_1420	s_1420	NA
s_0612	s_0612	NA
s_1398	s_1398	NA
s_1359	s_1359	NA
s_1195	s_1195	NA
s_0793	s_0793	NA
s_0776	s_0776	NA
s_1131	s_1131	NA
s_1113	s_1113	NA
s_0810	s_0810	NA
s_0775	s_0775	NA
s_0611	s_0611	NA
s_0509	s_0509	NA
s_0510	s_0510	NA
s_0507	s_0507	NA
s_0427	s_0427	NA
s_0527	s_0527	NA
s_0520	s_0520	NA
s_1265	s_1265	NA
s_1430	s_1430	NA
s_0888	s_0888	NA
s_0943	s_0943	NA
s_0889	s_0889	NA
s_1117	s_1117	NA
s_0805	s_0805	NA
s_1118	s_1118	NA
s_0524	s_0524	NA
s_0481	s_0481	NA
s_0567	s_0567	NA
s_0963	s_0963	NA
s_1421	s_1421	NA
s_0529	s_0529	NA
s_0587	s_0587	NA
s_0530	s_0530	NA
s_0538	s_0538	NA
s_0735	s_0735	NA
s_0543	s_0543	NA
s_0535	s_0535	NA
s_0906	s_0906	NA
s_0570	s_0570	NA
s_0626	s_0626	NA
s_0140	s_0140	NA
s_0562	s_0562	NA
s_0591	s_0591	NA
s_1321	s_1321	NA
s_1410	s_1410	NA
s_0280	s_0280	NA
s_1401	s_1401	NA
s_1409	s_1409	NA
s_0156	s_0156	NA
s_0157	s_0157	NA
s_0155	s_0155	NA
s_0202	s_0202	NA
s_0205	s_0205	NA
s_0387	s_0387	NA
s_0598	s_0598	NA
s_0516	s_0516	NA
s_1400	s_1400	NA
s_1216	s_1216	NA
s_1323	s_1323	NA
s_1050	s_1050	NA
s_0064	s_0064	NA
s_1154	s_1154	NA
s_0601	s_0601	NA
s_0602	s_0602	NA
s_0310	s_0310	NA
s_0354	s_0354	NA
s_0351	s_0351	NA
s_0747	s_0747	NA
s_0352	s_0352	NA
s_0279	s_0279	NA
s_0355	s_0355	NA
s_0007	s_0007	NA
s_0063	s_0063	NA
s_0734	s_0734	NA
s_0850	s_0850	NA
s_1257	s_1257	NA
s_0712	s_0712	NA
s_0265	s_0265	NA
s_0144	s_0144	NA
s_1024	s_1024	NA
s_0147	s_0147	NA
s_0148	s_0148	NA
s_0613	s_0613	NA
s_0616	s_0616	NA
s_0617	s_0617	NA
s_1012	s_1012	NA
s_0618	s_0618	NA
s_0193	s_0193	NA
s_0230	s_0230	NA
s_1377	s_1377	NA
s_0653	s_0653	NA
s_1124	s_1124	NA
s_0661	s_0661	NA
s_0195	s_0195	NA
s_0194	s_0194	NA
s_1361	s_1361	NA
s_1099	s_1099	NA
s_1095	s_1095	NA
s_1150	s_1150	NA
s_1130	s_1130	NA
s_1133	s_1133	NA
s_0575	s_0575	NA
s_0969	s_0969	NA
s_1029	s_1029	NA
s_1036	s_1036	NA
s_1171	s_1171	NA
s_1178	s_1178	NA
s_1329	s_1329	NA
s_1145	s_1145	NA
s_0988	s_0988	NA
s_0491	s_0491	NA
s_0479	s_0479	NA
s_1139	s_1139	NA
s_1140	s_1140	NA
s_0582	s_0582	NA
s_0451	s_0451	NA
s_0580	s_0580	NA
s_0437	s_0437	NA
s_0610	s_0610	NA
s_0974	s_0974	NA
s_1187	s_1187	NA
s_1176	s_1176	NA
s_0782	s_0782	NA
s_1183	s_1183	NA
s_0993	s_0993	NA
s_0492	s_0492	NA
s_1334	s_1334	NA
s_1147	s_1147	NA
s_0995	s_0995	NA
s_1129	s_1129	NA
s_1138	s_1138	NA
s_1044	s_1044	NA
s_1034	s_1034	NA
s_1360	s_1360	NA
s_1041	s_1041	NA
s_0975	s_0975	NA
s_1042	s_1042	NA
s_0073	s_0073	NA
s_1185	s_1185	NA
s_0503	s_0503	NA
s_1332	s_1332	NA
s_0505	s_0505	NA
