abbreviation	equation	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
r_0903	(1) s_0102 <-> (1) s_1207 + (1) s_0090	reversible	NA	-1000.00	1000.00	  0.00	((YNL106C) or (YOR109W))	
r_0904	(1) s_0097 <-> (1) s_0102 + (1) s_1207	reversible	NA	-1000.00	1000.00	  0.00	((YNL106C) or (YOR109W))	
r_0905	(1) s_0111 <-> (1) s_1207 + (1) s_0090	reversible	NA	-1000.00	1000.00	  0.00	((YNL106C) or (YOR109W))	
r_0906	(1) s_0098 -> (1) s_1207 + (1) s_0103	irreversible	NA	  0.00	1000.00	  0.00	((YNL106C) or (YOR109W))	
r_0907	(1) s_0112 <-> (1) s_1207 + (1) s_0091	reversible	NA	-1000.00	1000.00	  0.00	((YNL106C) or (YOR109W))	
r_0908	(2) s_0321 -> (1) s_1253	irreversible	NA	  0.00	1000.00	  0.00	(YGL040C)	
r_0909	(1) s_1160 + (1) s_1050 -> (1) s_0214 + (1) s_0801 + (1) s_1049	irreversible	NA	  0.00	1000.00	  0.00	(YMR020W)	
r_0910	(1) s_1160 + (1) s_1323 -> (1) s_0214 + (1) s_0801 + (1) s_1321	irreversible	NA	  0.00	1000.00	  0.00	(YMR020W)	
r_0911	(1) s_1258 -> (1) s_0470 + (1) s_0859	irreversible	NA	  0.00	1000.00	  0.00	(YNL316C)	
r_0912	(1) s_1082 + (1) s_1258 -> (1) s_1087 + (1) s_0470 + (1) s_0209	irreversible	NA	  0.00	1000.00	  0.00		
r_0913	(1) s_1091 + (1) s_1258 -> (1) s_1096 + (1) s_0470 + (1) s_0209	irreversible	NA	  0.00	1000.00	  0.00	(YBR166C)	
r_0914	(1) s_1084 + (1) s_0941 -> (1) s_0121 + (1) s_1089	irreversible	NA	  0.00	1000.00	  0.00	(YLR142W)	
r_0915	(1) s_0446 + (1) s_0939 -> (1) s_0434 + (1) s_0605 + (1) s_1260	irreversible	NA	  0.00	1000.00	  0.00	(YHR020W)	
r_0916	(3) s_1163 + (2) s_1266 -> (2) s_1264	irreversible	NA	  0.00	1000.00	  0.00	(YER014W)	
r_0917	(1) s_1207 + (1) s_1078 <-> (1) s_1100 + (1) s_0425	reversible	NA	-1000.00	1000.00	  0.00	((YDR400W) and (YLR017W) and (YLR209C))	
r_0918	(1) s_1207 + (1) s_0393 <-> (1) s_0390 + (1) s_0425	reversible	NA	-1000.00	1000.00	  0.00	(YLR209C)	
r_0919	(1) s_1211 + (1) s_0395 <-> (1) s_0392 + (1) s_0426	reversible	NA	-1000.00	1000.00	  0.00	(YLR209C)	
r_0920	(1) s_1207 + (1) s_0134 <-> (1) s_0390 + (1) s_0155	reversible	NA	-1000.00	1000.00	  0.00	(YLR209C)	
r_0921	(1) s_1207 + (1) s_0138 <-> (1) s_0155 + (1) s_0757	reversible	NA	-1000.00	1000.00	  0.00	(YLR209C)	
r_0922	(1) s_1207 + (1) s_0140 <-> (1) s_0808 + (1) s_0155	reversible	NA	-1000.00	1000.00	  0.00	(YLR209C)	
r_0923	(1) s_1207 + (1) s_0760 <-> (1) s_0757 + (1) s_0425	reversible	NA	-1000.00	1000.00	  0.00	(YLR209C)	
r_0924	(1) s_1211 + (1) s_0762 <-> (1) s_0426 + (1) s_0759	reversible	NA	-1000.00	1000.00	  0.00	(YLR209C)	
r_0925	(1) s_1207 + (1) s_0822 <-> (1) s_0808 + (1) s_0425	reversible	NA	-1000.00	1000.00	  0.00	(YLR209C)	
